                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.97357,                0.86392,                 1.3308,                0.71616,                0.70222,                0.72762,                0.51265,                   1.16,                 1.1715,                 1.6689,               0.000427,               0.000427,               0.000427
                     35,                0.96993,                0.88112,                 1.3379,                0.82939,                0.65252,                 0.7693,                0.52187,                 1.1825,                 1.0606,                  1.663,             0.00042081,             0.00042081,             0.00042081
                     36,                0.97456,                0.85502,                 1.3299,                0.71591,                0.76181,                0.75457,                0.52506,                 1.1504,                 1.0948,                  1.648,             0.00041462,             0.00041462,             0.00041462
                     37,                0.94659,                  0.839,                 1.3167,                0.78756,                0.72174,                0.77054,                0.53783,                 1.1479,                 1.0848,                 1.6599,             0.00040844,             0.00040844,             0.00040844
                     38,                0.95629,                 0.8425,                 1.3252,                0.74303,                0.69035,                0.73172,                0.50268,                 1.1882,                 1.1289,                 1.6922,             0.00040225,             0.00040225,             0.00040225
                     39,                0.94351,                0.83491,                 1.3173,                0.74352,                0.72543,                0.76685,                0.53844,                 1.1523,                  1.065,                 1.6592,             0.00039606,             0.00039606,             0.00039606
                     40,                0.94983,                0.82908,                 1.3177,                0.67405,                0.75287,                0.76016,                0.52105,                 1.1963,                 1.0806,                 1.6952,             0.00038988,             0.00038988,             0.00038988
                     41,                  0.931,                0.81079,                 1.3055,                0.75401,                0.71484,                0.73351,                0.50714,                 1.1891,                 1.0956,                 1.7229,             0.00038369,             0.00038369,             0.00038369
                     42,                0.91691,                0.79079,                 1.2964,                0.75029,                0.76865,                0.78863,                0.55276,                 1.1297,                 1.0093,                 1.6419,              0.0003775,              0.0003775,              0.0003775
                     43,                0.91988,                0.80032,                 1.2982,                0.73138,                0.71736,                0.74055,                0.51084,                 1.1861,                 1.1284,                 1.6881,             0.00037131,             0.00037131,             0.00037131
                     44,                0.93176,                0.79559,                 1.3065,                0.79101,                0.68581,                0.76103,                0.52474,                 1.1656,                 1.0558,                 1.6368,             0.00036513,             0.00036513,             0.00036513
                     45,                0.91044,                0.77138,                 1.2951,                0.70416,                 0.7095,                0.72144,                0.49914,                  1.162,                 1.1901,                 1.6748,             0.00035894,             0.00035894,             0.00035894
                     46,                0.91663,                0.77161,                 1.2992,                0.75535,                 0.6888,                0.74109,                0.50808,                 1.1642,                 1.0949,                 1.6533,             0.00035275,             0.00035275,             0.00035275
                     47,                0.90601,                0.75888,                 1.2908,                0.75586,                0.74663,                0.78027,                0.54789,                 1.1283,                 1.0457,                 1.6265,             0.00034656,             0.00034656,             0.00034656
                     48,                0.89638,                0.74857,                 1.2841,                0.71761,                0.73919,                0.74361,                0.51458,                  1.199,                 1.1018,                 1.7015,             0.00034038,             0.00034038,             0.00034038
                     49,                0.90521,                0.74843,                  1.282,                0.73475,                 0.7266,                 0.7527,                0.53459,                 1.1269,                 1.0783,                 1.6336,             0.00033419,             0.00033419,             0.00033419
                     50,                0.89233,                0.73093,                 1.2773,                0.77387,                0.73109,                0.77202,                0.54865,                 1.1226,                 1.0398,                 1.6318,               0.000328,               0.000328,               0.000328
                     51,                0.88058,                0.73006,                 1.2761,                0.75895,                0.75697,                0.76169,                0.53286,                 1.1662,                 1.0423,                 1.6846,             0.00032181,             0.00032181,             0.00032181
                     52,                0.88577,                0.71808,                 1.2688,                0.73642,                0.75366,                0.77585,                0.54334,                 1.1629,                  1.033,                 1.6657,             0.00031562,             0.00031562,             0.00031562
                     53,                0.87912,                0.72645,                 1.2725,                0.75951,                  0.729,                0.77573,                0.52888,                  1.168,                 1.0322,                 1.6615,             0.00030944,             0.00030944,             0.00030944
                     54,                0.87399,                0.71314,                 1.2659,                0.72469,                0.71288,                0.74261,                0.50454,                 1.1872,                 1.1306,                  1.679,             0.00030325,             0.00030325,             0.00030325
                     55,                0.86573,                0.69655,                 1.2627,                0.72698,                0.75684,                0.75749,                0.51902,                 1.1612,                  1.055,                 1.6704,             0.00029706,             0.00029706,             0.00029706
                     56,                0.86013,                0.68278,                 1.2536,                0.76343,                0.73189,                0.77319,                0.53595,                 1.1353,                 1.0459,                 1.6674,             0.00029088,             0.00029088,             0.00029088
